No,Desa/Kelurahan,Kecamatan,kondisi_jalan,Skala
129,Nyeloh,Kedungdung,1,3.0
130,Bajrasokah,Kedungdung,1,3.0
131,Muktesareh,Kedungdung,1,3.0
132,Rahayu,Kedungdung,1,3.0
133,Rabiyan,Ketapang,1,3.0
134,Kebun Sareh,Omben,1,3.0
135,Barung Gagah,Tambelangan,1,3.0
136,Karang Nangger,Omben,1,3.0
137,Pacanggaan,Pangarengan,1,3.0
138,Penyerangan,Pangarengan,1,3.0
139,Gulbung,Pangarengan,1,3.0
140,Apaaan,Pangarengan,1,3.0
141,Pangarengan,Pangarengan,1,3.0
142,Karang Gayam,Omben,1,3.0
143,Rapa Daya,Omben,1,3.0
144,Pandan,Omben,1,3.0
145,Rongdalem,Omben,1,3.0
146,Rapalaok,Omben,1,3.0
147,Angsokah,Omben,1,3.0
148,Jrangoan,Omben,1,3.0
149,Napo Daya,Omben,1,3.0
150,Sogiyan,Omben,1,3.0
151,Omben,Omben,1,3.0
152,Temoran,Omben,1,3.0
153,Tambak,Omben,1,3.0
154,Kamondung,Omben,1,3.0
155,Madulang,Omben,1,3.0
156,Meteng,Omben,1,3.0
157,Gersempal,Omben,1,3.0
158,Astapah,Omben,1,3.0
159,Napolaok,Omben,1,3.0
160,Rabasan,Kedungdung,1,3.0
161,Banyukapah,Kedungdung,1,3.0
162,Komis,Kedungdung,1,3.0
163,Kramat,Kedungdung,1,3.0
164,Morbatoh,Banyuates,1,3.0
165,Kambang Jeruk,Banyuates,1,3.0
166,Asem Jaran,Banyuates,1,3.0
167,Nagasareh,Banyuates,1,3.0
168,Tragah,Banyuates,1,3.0
169,Planggaran Timur,Banyuates,1,3.0
170,Planggaran Barat,Banyuates,1,3.0
171,Tana Mera,Torjun,1,3.0
172,Kara,Torjun,1,3.0
173,Kanjar,Torjun,1,3.0
174,Kodak,Torjun,1,3.0
175,Jeruk Porot,Torjun,1,3.0
176,Patapan,Torjun,1,3.0
177,Torjunan,Torjun,1,3.0
178,Bringin Nonggal,Torjun,1,3.0
179,Krampon,Torjun,1,3.0
180,Pangongsean,Torjun,1,3.0
181,Patarongan,Torjun,1,3.0
182,Dulang,Torjun,1,3.0
183,Birem,Tambelangan,1,3.0
184,Banjar Billah,Tambelangan,1,3.0
185,Somber,Tambelangan,1,3.0
186,Tambelangan,Tambelangan,1,3.0
187,Montor,Banyuates,1,3.0
188,Tebanah,Banyuates,1,3.0
189,Nepa,Banyuates,1,3.0
190,Pamolaan,Camplong,1,3.0
191,Gunung Kesan,Karang penang,1,3.0
192,Bluuran,Karang penang,1,3.0
193,Panyepen,Jrengik,1,3.0
194,Taman,Jrengik,1,3.0
195,Jrengik,Jrengik,1,3.0
196,Kotah,Jrengik,1,3.0
197,Kalangan Prao,Jrengik,1,3.0
198,Majangan,Jrengik,1,3.0
199,Asem Nonggal,Jrengik,1,3.0
200,Margantoko,Jrengik,1,3.0
201,Madupat,Camplong,1,3.0
202,Batioh,Banyuates,1,3.0
203,Anggersek,Camplong,1,3.0
204,Dharma Tanjung,Camplong,1,3.0
205,Batu Karang,Camplong,1,3.0
206,Prajjan,Camplong,1,3.0
207,Tambaan,Camplong,1,3.0
208,Banjar Talela,Camplong,1,3.0
209,Taddan,Camplong,1,3.0
210,Trapang,Banyuates,1,3.0
211,Jatra Timur,Banyuates,1,3.0
212,Banyuates,Banyuates,1,3.0
213,Batonaong,Arosbaya,1,3.0
214,Kranggan Barat,Tanah Merah,1,3.0
215,Baipajung,Tanah Merah,1,3.0
216,Muarah,Klampis,1,3.0
217,Lantek Barat,Galis,1,3.0
218,Lantek Temor,Galis,1,3.0
219,Telagah,Galis,1,3.0
220,Kelbung,Galis,1,3.0
221,Belateran,Galis,1,3.0
222,Tellok,Galis,1,3.0
223,Daleman,Galis,1,3.0
224,Banyubunih,Galis,1,3.0
225,Longkek,Galis,1,3.0
226,Pakaandaya,Galis,1,3.0
227,Separah,Galis,1,3.0
228,Kranggan Timur,Galis,1,3.0
229,Paka'An Laok,Galis,1,3.0
230,Galis,Galis,1,3.0
231,Paterongan,Galis,1,3.0
232,Kajuanak,Galis,1,3.0
233,Pekadan,Galis,1,3.0
234,Binoh,Burneh,1,3.0
235,Alas Kembang,Burneh,1,3.0
236,Perreng,Burneh,1,3.0
237,Pangolangan,Burneh,1,3.0
238,Sobih,Burneh,1,3.0
239,Arok,Burneh,1,3.0
240,Banjar,Galis,1,3.0
241,Bangpendah,Galis,1,3.0
242,Sadah,Galis,1,3.0
243,Tajungan,Kamal,1,3.0
244,Tolbuk,Klampis,1,3.0
245,Pacentan,Tanah Merah,1,3.0
246,Tellang,Kamal,1,3.0
247,Gili Anyar,Kamal,1,3.0
248,Gili Timur,Kamal,1,3.0
249,Kebun,Kamal,1,3.0
250,Tanjung Jati,Kamal,1,3.0
251,Kamal,Kamal,1,3.0
252,Banyu Ajuh,Kamal,1,3.0
253,Gili Barat,Kamal,1,3.0
254,Banyoneng Dajah,Geger,1,3.0
255,Sorpa,Galis,1,3.0
256,Banyoneng Laok,Geger,1,3.0
257,Katol Barat,Geger,1,3.0
258,Kombangan,Geger,1,3.0
259,Kampak,Geger,1,3.0
260,Kompol,Geger,1,3.0
261,Campor,Geger,1,3.0
262,Tegerpriyah,Geger,1,3.0
263,Batobella,Geger,1,3.0
264,Geger,Geger,1,3.0
265,Togubang,Geger,1,3.0
266,Kapor,Burneh,1,3.0
267,Benangkah,Burneh,1,3.0
268,Langkap,Burneh,1,3.0
269,Plakaran,Arosbaya,1,3.0
270,Demangan,Bangkalan,1,3.0
271,Pangeranan,Bangkalan,1,3.0
272,Kemayoran,Bangkalan,1,3.0
273,Mlajah,Bangkalan,1,3.0
274,Mertajasah,Bangkalan,1,3.0
275,Kramat,Bangkalan,1,3.0
276,Sembilangan,Bangkalan,1,3.0
277,Ujung Piring,Bangkalan,1,3.0
278,Tambegan,Arosbaya,1,3.0
279,Buduran,Arosbaya,1,3.0
280,Makam Agung,Arosbaya,1,3.0
281,Pejagan,Bangkalan,1,3.0
282,Karang Pao,Arosbaya,1,3.0
283,Cendagah,Arosbaya,1,3.0
284,Berbeluk,Arosbaya,1,3.0
285,Mangkon,Arosbaya,1,3.0
286,Dlemer,Arosbaya,1,3.0
287,Arosbaya,Arosbaya,1,3.0
288,Tengket,Arosbaya,1,3.0
289,Lajing,Arosbaya,1,3.0
290,Ombul,Arosbaya,1,3.0
291,Glagga,Arosbaya,1,3.0
292,Keraton,Bangkalan,1,3.0
293,Bancaran,Bangkalan,1,3.0
294,Jambu,Burneh,1,3.0
295,Karang Gayam,Blega,1,3.0
296,Tonjung,Burneh,1,3.0
297,Burneh,Burneh,1,3.0
298,Kajan,Blega,1,3.0
299,Alasraja,Blega,1,3.0
