No,Desa/Kelurahan,Kecamatan,jarak_kecamatan,Skala
173,Asem Jaran,Banyuates,6,3
174,Lantek Barat,Galis,7,3
175,Landak,Tanah Merah,10,3
176,Asem Nonggal,Jrengik,9,3
177,Plakaran,Jrengik,6,3
178,Kranggan Timur,Galis,6,3
179,Margantoko,Jrengik,7,3
180,Belateran,Galis,9,3
181,Tellok,Galis,9,3
182,Kelbung,Galis,12,3
183,Bancelok,Jrengik,7,3
184,Telagah,Galis,11,3
185,Buler,Jrengik,8,3
186,Banjar Talela,Camplong,4,2
187,Jrangoan,Omben,5,2
188,Macajah,Tanjung Bumi,4,2
189,Gersempal,Omben,5,2
190,Meteng,Omben,5,2
191,Batioh,Banyuates,4,2
192,Sogiyan,Omben,4,2
193,Barung Gagah,Tambelangan,5,2
194,Planggiran,Tanjung Bumi,5,2
195,Basanah,Tanah Merah,5,2
196,Taman,Jrengik,4,2
197,Rongdalem,Omben,4,2
198,Pandan,Omben,4,2
199,Mrecah,Tanah Merah,5,2
200,Klobur,Sreseh,5,2
201,Penyerangan,Pangarengan,4,2
202,Pacanggaan,Pangarengan,4,2
203,Kotah,Jrengik,4,2
204,Lepelle,Robatal,5,2
205,Bluuran,Karang penang,5,2
206,Pacangan,Tragah,4,2
207,Daleman,Kedungdung,4,2
208,Pasarenan,Kedungdung,5,2
209,Rahayu,Kedungdung,5,2
210,Gng Maddah,Sampang,5,2
211,Banyuanyar,Sampang,5,2
212,Karang penang oloh,Karang penang,4,2
213,Mlaka,Jrengik,5,2
214,Robatal,Robatal,4,2
215,Bringin Nonggal,Torjun,4,2
216,Patapan,Torjun,4,2
217,Jeruk Porot,Torjun,4,2
218,Madupat,Camplong,5,2
219,Majangan,Jrengik,5,2
220,Ketapang Timur,Ketapang,4,2
221,Asem Raja,Jrengik,5,2
222,Tamberu Timur,Sokobanah,5,2
223,Taman  ,Sreseh,5,2
224,Batu poro timur,Kedungdung,5,2
225,Tlambah,Karang penang,4,2
226,Jungkarang,Jrengik,4,2
227,Ragung,Pangarengan,5,2
228,Pangeran Gedungan,Blega,5,2
229,Karanganyar,Kwanyar,4,2
230,Pangpong,Labang,4,2
231,Panjalinan,Blega,4,2
232,Senasen,Konang,5,2
233,Kampao,Blega,4,2
234,Lombang Laok,Blega,4,2
235,Campor,Konang,4,2
236,Tebul,Kwanyar,5,2
237,Patengteng,Modung,5,2
238,Serabi Barat,Modung,5,2
239,Karang Gayam,Blega,4,2
240,Kombangan,Geger,5,2
241,Lomaer,Blega,5,2
242,Neroh,Modung,5,2
243,Batokorogan,Kokop,4,2
244,Paeng,Modung,5,2
245,Karang Entang,Kwanyar,4,2
246,Kolla,Modung,4,2
247,Ko'ol,Klampis,5,2
248,Alasraja,Blega,4,2
249,Tegerpriyah,Geger,4,2
250,Batobella,Geger,5,2
251,Jukong,Labang,5,2
252,Daleman,Galis,5,2
253,Sobih,Burneh,4,2
254,Kajuanak,Galis,5,2
255,Paoran,Kwanyar,5,2
256,Bancaran,Bangkalan,5,2
257,Separah,Galis,5,2
258,Dakiring,Socah,4,2
259,Balung,Arosbaya,4,2
260,Manonggal,Klampis,4,2
261,Polongan,Klampis,4,2
262,Pernajuh,Socah,5,2
263,Karang Duwak,Arosbaya,4,2
264,Ra'As,Klampis,5,2
265,Tellang,Kamal,5,2
266,Bandang Laok,Kokop,4,2
267,Bilaporah,Socah,4,2
268,Tramok,Kokop,5,2
269,Ombul,Arosbaya,5,2
270,Patemon,Tanah Merah,4,2
271,Mertajasah,Bangkalan,4,2
272,Mlajah,Bangkalan,5,2
273,Tlomar,Tanah Merah,4,2
274,Panyaksagan,Klampis,4,2
275,Banyubunih,Galis,3,1
276,Karang Asem,Klampis,3,1
277,Longkek,Galis,3,1
278,Tenggun Daya,Klampis,3,1
279,Togubang,Geger,2,1
280,Pakaandaya,Galis,3,1
281,Kendaban,Tanah Merah,3,1
282,Prajjan,Camplong,3,1
283,Banjar Tabulu,Camplong,3,1
284,Kompol,Geger,2,1
285,Dharma Camplong,Camplong,3,1
286,Kampak,Geger,3,1
287,Kambang Jeruk,Banyuates,3,1
288,Morbatoh,Banyuates,3,1
289,Kebun,Kamal,2,1
290,Tanjung Jati,Kamal,3,1
291,Kamal,Kamal,3,1
292,Trapang,Banyuates,3,1
293,Taddan,Camplong,3,1
294,Tajungan,Kamal,2,1
295,Jangkar,Tanah Merah,3,1
296,Rabasan,Kedungdung,3,1
297,Paka'An Laok,Galis,3,1
298,Paterongan,Galis,2,1
299,Tambegan,Arosbaya,2,1
300,Buduran,Arosbaya,2,1
301,Makam Agung,Arosbaya,3,1
302,Karang Pao,Arosbaya,2,1
303,Cendagah,Arosbaya,3,1
304,Berbeluk,Arosbaya,3,1
305,Tambak,Omben,3,1
306,Temoran,Omben,3,1
307,Omben,Omben,2,1
308,Mangkon,Arosbaya,2,1
309,Dlemer,Arosbaya,2,1
310,Angsokah,Omben,2,1
311,Tengket,Arosbaya,2,1
312,Rapa Daya,Omben,2,1
313,Lajing,Arosbaya,2,1
314,Pangarengan,Pangarengan,2,1
315,Gulbung,Pangarengan,3,1
316,Rabiyan,Ketapang,3,1
317,Kemayoran,Bangkalan,2,1
318,Ketapang Laok,Ketapang,3,1
319,Nyor Manis,Blega,2,1
320,Arok,Burneh,3,1
321,Panyepen,Jrengik,3,1
322,Kapor,Burneh,3,1
323,Benangkah,Burneh,3,1
324,Langkap,Burneh,2,1
325,Jambu,Burneh,2,1
326,Kramat,Kedungdung,3,1
327,Bajrasokah,Kedungdung,3,1
328,Pejagan,Bangkalan,2,1
329,Karangnangka,Blega,3,1
330,Karang Panasan,Blega,3,1
331,Kedungdung,Kedungdung,2,1
332,Batu poro barat,Kedungdung,3,1
333,Blegaoloh,Blega,3,1
334,Karpote,Blega,2,1
335,Rosep,Blega,2,1
336,Trogan,Klampis,3,1
337,Larangan Sorjan,Klampis,3,1
338,Mrandung,Klampis,3,1
339,Kesek,Labang,2,1
340,Tragah,Tragah,2,1
341,Jaddung,Tragah,2,1
342,Banyu Bese,Tragah,2,1
343,Pamorah,Tragah,3,1
344,Junganyar,Socah,2,1
345,Torjunan,Robatal,2,1
346,Tragih,Robatal,2,1
347,Serabi Timur,Modung,3,1
348,Pandiyangan,Robatal,3,1
349,Polagan,Sampang,2,1
350,Rong Tengah,Sampang,2,1
351,Buluk Agung,Klampis,2,1
352,Paseyan,Sampang,3,1
353,Pangpajung,Modung,3,1
354,Labang,Labang,3,1
355,Morkepek,Labang,3,1
356,Ba'Engas,Labang,2,1
357,Pocong,Tragah,2,1
358,Buluh,Socah,2,1
359,Masaran,Tragah,2,1
360,Telaga Biru,Tanjung Bumi,3,1
361,Dumajah,Tanah Merah,3,1
362,Padurungan,Tanah Merah,2,1
363,Pangeleyan,Tanah Merah,2,1
364,Kranggan Barat,Tanah Merah,3,1
365,Tanah Merah Laok,Tanah Merah,2,1
366,Baipajung,Tanah Merah,3,1
367,Paseseh,Tanjung Bumi,2,1
368,Petaonan,Socah,2,1
369,Bancang,Tragah,3,1
370,Keleyan,Socah,2,1
371,Jaddih,Socah,3,1
372,Alang Alang,Tragah,2,1
373,Kemoneng,Tragah,3,1
374,Bajeman,Tragah,3,1
375,Tambin,Tragah,2,1
376,Ja'ah,Tragah,3,1
377,Bringin,Labang,3,1
378,Pandan Lanjang,Arosbaya,2,1
379,Sumur Kuning,Kwanyar,3,1
380,Sokobanah Daya,Sokobanah,2,1
381,Krampon,Torjun,3,1
382,Pangongsean,Torjun,3,1
383,Patarongan,Torjun,3,1
384,Somber,Tambelangan,2,1
385,Banda Soleh,Kokop,2,1
386,Pakes,Konang,3,1
387,Noreh,Sreseh,2,1
388,Janteh,Kwanyar,2,1
389,Tamberu Barat,Sokobanah,3,1
390,Karang Anyar,Tambelangan,3,1
391,Morombuh,Kwanyar,3,1
392,Karang penang onjur,Karang penang,1,0
393,Gili Anyar,Kamal,1,0
394,Masaran,Banyuates,1,0
395,Banyu Ajuh,Kamal,1,0
396,Keteleng,Tragah,1,0
397,Soket Daya,Tragah,1,0
398,Dupok,Kokop,1,0
399,Plakaran,Arosbaya,1,0
