No,Desa/Kelurahan,Kecamatan,wisatawanmanca,Skala
145,Banyu Sokah,Ketapang,0,0
146,Planggaran Barat,Banyuates,0,0
147,Jrangoan,Omben,0,0
148,Pacanggaan,Pangarengan,0,0
149,Penyerangan,Pangarengan,0,0
150,Gulbung,Pangarengan,0,0
151,Apaaan,Pangarengan,0,0
152,Pangarengan,Pangarengan,0,0
153,Karang Gayam,Omben,0,0
154,Rapa Daya,Omben,0,0
155,Pandan,Omben,0,0
156,Rongdalem,Omben,0,0
157,Rapalaok,Omben,0,0
158,Angsokah,Omben,0,0
159,Napo Daya,Omben,0,0
160,Kebun Sareh,Omben,0,0
161,Sogiyan,Omben,0,0
162,Omben,Omben,0,0
163,Temoran,Omben,0,0
164,Tambak,Omben,0,0
165,Kamondung,Omben,0,0
166,Madulang,Omben,0,0
167,Meteng,Omben,0,0
168,Gersempal,Omben,0,0
169,Astapah,Omben,0,0
170,Napolaok,Omben,1,0
171,Karang Nangger,Omben,0,0
172,Rabasan,Kedungdung,0,0
173,Banyukapah,Kedungdung,0,0
174,Komis,Kedungdung,0,0
175,Nepa,Banyuates,0,0
176,Dharma Tanjung,Camplong,0,0
177,Sejati,Camplong,0,0
178,Batu Karang,Camplong,0,0
179,Prajjan,Camplong,0,0
180,Tambaan,Camplong,0,0
181,Banjar Talela,Camplong,0,0
182,Taddan,Camplong,0,0
183,Trapang,Banyuates,0,0
184,Jatra Timur,Banyuates,0,0
185,Banyuates,Banyuates,0,0
186,Masaran,Banyuates,0,0
187,Tebanah,Banyuates,0,0
188,Kramat,Kedungdung,0,0
189,Montor,Banyuates,0,0
190,Morbatoh,Banyuates,0,0
191,Kambang Jeruk,Banyuates,0,0
192,Asem Jaran,Banyuates,0,0
193,Terosan,Banyuates,0,0
194,Tapaan,Banyuates,0,0
195,Nagasareh,Banyuates,0,0
196,Tragah,Banyuates,0,0
197,Lar-lar,Banyuates,0,0
198,Tolang,Banyuates,0,0
199,Batangan,Tanah Merah,0,0
200,Rabasan,Camplong,0,0
201,Banjar Tabulu,Camplong,0,0
202,Anggersek,Camplong,0,0
203,Madupat,Camplong,0,0
204,Karang penang oloh,Karang penang,0,0
205,Poreh,Karang penang,0,0
206,Bulmatet,Karang penang,0,0
207,Karang penang onjur,Karang penang,0,0
208,Gunung Kesan,Karang penang,0,0
209,Tlambah,Karang penang,0,0
210,Bluuran,Karang penang,0,0
211,Panyepen,Jrengik,0,0
212,Taman,Jrengik,0,0
213,Jrengik,Jrengik,0,0
214,Kotah,Jrengik,0,0
215,Jungkarang,Jrengik,0,0
216,Mlaka,Jrengik,0,0
217,Bancelok,Jrengik,0,0
218,Buler,Jrengik,0,0
219,Plakaran,Jrengik,0,0
220,Asem Raja,Jrengik,0,0
221,Kalangan Prao,Jrengik,0,0
222,Majangan,Jrengik,0,0
223,Asem Nonggal,Jrengik,0,0
224,Margantoko,Jrengik,0,0
225,Plampaan,Camplong,0,0
226,Pamolaan,Camplong,0,0
227,Dlambah Dajah,Tanah Merah,0,0
228,Rongdurin,Tanah Merah,0,0
229,Batonaong,Arosbaya,0,0
230,Landak,Tanah Merah,0,0
231,Lerpak,Geger,0,0
232,Togubang,Geger,0,0
233,Sorpa,Galis,0,0
234,Sadah,Galis,0,0
235,Bangpendah,Galis,0,0
236,Banjar,Galis,0,0
237,Lantek Barat,Galis,0,0
238,Lantek Temor,Galis,0,0
239,Telagah,Galis,0,0
240,Kelbung,Galis,0,0
241,Belateran,Galis,0,0
242,Tellok,Galis,0,0
243,Daleman,Galis,0,0
244,Banyubunih,Galis,0,0
245,Longkek,Galis,0,0
246,Pakaandaya,Galis,0,0
247,Separah,Galis,0,0
248,Kranggan Timur,Galis,0,0
249,Paka'An Laok,Galis,0,0
250,Galis,Galis,0,0
251,Paterongan,Galis,0,0
252,Kajuanak,Galis,0,0
253,Pekadan,Galis,0,0
254,Binoh,Burneh,0,0
255,Alas Kembang,Burneh,0,0
256,Geger,Geger,0,0
257,Batobella,Geger,0,0
258,Tegerpriyah,Geger,0,0
259,Kebun,Kamal,0,0
260,Bragang,Klampis,0,0
261,Bantean,Klampis,0,0
262,Karang Asem,Klampis,0,0
263,Polongan,Klampis,0,0
264,Muarah,Klampis,0,0
265,Ra'As,Klampis,0,0
266,Tolbuk,Klampis,0,0
267,Pendabah,Kamal,0,0
268,Tellang,Kamal,0,0
269,Gili Anyar,Kamal,0,0
270,Gili Timur,Kamal,0,0
271,Tanjung Jati,Kamal,0,0
272,Campor,Geger,0,0
273,Kamal,Kamal,0,0
274,Banyu Ajuh,Kamal,0,0
275,Gili Barat,Kamal,0,0
276,Tajungan,Kamal,0,0
277,Banyoneng Dajah,Geger,0,0
278,Banyoneng Laok,Geger,0,0
279,Katol Barat,Geger,0,0
280,Dabung,Geger,0,0
281,Kombangan,Geger,0,0
282,Kampak,Geger,0,0
283,Kompol,Geger,0,0
284,Perreng,Burneh,0,0
285,Pangolangan,Burneh,0,0
286,Sobih,Burneh,0,0
287,Makam Agung,Arosbaya,0,0
288,Pejagan,Bangkalan,0,0
289,Keraton,Bangkalan,0,0
290,Pangeranan,Bangkalan,0,0
291,Kemayoran,Bangkalan,0,0
292,Mlajah,Bangkalan,0,0
293,Kramat,Bangkalan,0,0
294,Sembilangan,Bangkalan,0,0
295,Ujung Piring,Bangkalan,0,0
296,Tambegan,Arosbaya,0,0
297,Buduran,Arosbaya,0,0
298,Plakaran,Arosbaya,0,0
299,Karang Pao,Arosbaya,0,0
300,Sabiyan,Bangkalan,0,0
301,Cendagah,Arosbaya,0,0
302,Berbeluk,Arosbaya,0,0
303,Mangkon,Arosbaya,0,0
304,Dlemer,Arosbaya,0,0
305,Karang Duwak,Arosbaya,0,0
306,Arosbaya,Arosbaya,0,0
307,Tengket,Arosbaya,0,0
308,Lajing,Arosbaya,0,0
309,Balung,Arosbaya,0,0
310,Ombul,Arosbaya,0,0
311,Glagga,Arosbaya,0,0
312,Bancaran,Bangkalan,0,0
313,Gebang,Bangkalan,0,0
314,Arok,Burneh,0,0
315,Karang Panasan,Blega,0,0
316,Kapor,Burneh,0,0
317,Benangkah,Burneh,0,0
318,Langkap,Burneh,0,0
319,Jambu,Burneh,0,0
320,Tonjung,Burneh,0,0
321,Burneh,Burneh,0,0
322,Kajan,Blega,0,0
323,Alasraja,Blega,0,0
324,Nyor Manis,Blega,0,0
325,Blega,Blega,0,0
326,Karangnangka,Blega,0,0
327,Bates,Blega,0,0
328,Gigir,Blega,0,0
329,Lomaer,Blega,0,0
330,Karang Gayam,Blega,0,0
331,Blegaoloh,Blega,0,0
332,Karpote,Blega,0,0
333,Lombang Daya,Blega,0,0
334,Lombang Laok,Blega,0,0
335,Kampao,Blega,0,0
336,Rosep,Blega,0,0
337,Panjalinan,Blega,0,0
338,Pangeran Gedungan,Blega,0,0
339,Ko'Olan,Blega,0,0
340,Lergunong,Klampis,0,0
341,Panyaksagan,Klampis,0,0
342,Larangan Glintong,Klampis,0,0
343,Kolla,Modung,0,0
344,Manggaan,Modung,0,0
345,Karanganyar,Modung,0,0
346,Brakas Dajah,Modung,0,0
347,Modung,Modung,0,0
348,Suwaan,Modung,0,0
349,Langpanggang,Modung,0,0
350,Patengteng,Modung,0,0
351,Serabi Barat,Modung,0,0
352,Serabi Timur,Modung,0,0
353,Neroh,Modung,0,0
354,Paeng,Modung,0,0
355,Patereman,Modung,0,0
356,Pakong,Modung,0,0
357,Pangpajung,Modung,0,0
358,Petapan,Labang,0,0
