No,Desa/Kelurahan,Kecamatan,hargatiket,Skala
168,Prajjan,Camplong,0,3
169,Banjar Talela,Camplong,0,3
170,Trapang,Banyuates,0,3
171,Jatra Timur,Banyuates,0,3
172,Banyuates,Banyuates,0,3
173,Masaran,Banyuates,0,3
174,Nepa,Banyuates,0,3
175,Tebanah,Banyuates,0,3
176,Morbatoh,Banyuates,0,3
177,Kambang Jeruk,Banyuates,0,3
178,Asem Jaran,Banyuates,0,3
179,Terosan,Banyuates,0,3
180,Tapaan,Banyuates,0,3
181,Nagasareh,Banyuates,0,3
182,Tragah,Banyuates,0,3
183,Lar-lar,Banyuates,0,3
184,Tolang,Banyuates,0,3
185,Planggaran Timur,Banyuates,0,3
186,Planggaran Barat,Banyuates,0,3
187,Olor,Banyuates,0,3
188,Tana Mera,Torjun,0,3
189,Rabasan,Camplong,0,3
190,Anggersek,Camplong,0,3
191,Kramat,Kedungdung,0,3
192,Madupat,Camplong,0,3
193,Karang penang oloh,Karang penang,0,3
194,Poreh,Karang penang,0,3
195,Bulmatet,Karang penang,0,3
196,Karang penang onjur,Karang penang,0,3
197,Gunung Kesan,Karang penang,0,3
198,Tlambah,Karang penang,0,3
199,Bluuran,Karang penang,0,3
200,Panyepen,Jrengik,0,3
201,Taman,Jrengik,0,3
202,Jrengik,Jrengik,0,3
203,Kotah,Jrengik,0,3
204,Jungkarang,Jrengik,0,3
205,Mlaka,Jrengik,0,3
206,Bancelok,Jrengik,0,3
207,Buler,Jrengik,0,3
208,Plakaran,Jrengik,0,3
209,Asem Raja,Jrengik,0,3
210,Kalangan Prao,Jrengik,0,3
211,Majangan,Jrengik,0,3
212,Asem Nonggal,Jrengik,0,3
213,Margantoko,Jrengik,0,3
214,Plampaan,Camplong,0,3
215,Pamolaan,Camplong,0,3
216,Tanah Merah Daya,Tanah Merah,0,3
217,Rongdurin,Tanah Merah,0,3
218,Padurungan,Tanah Merah,0,3
219,Kampak,Geger,0,3
220,Campor,Geger,0,3
221,Tegerpriyah,Geger,0,3
222,Batobella,Geger,0,3
223,Lerpak,Geger,0,3
224,Togubang,Geger,0,3
225,Sorpa,Galis,0,3
226,Sadah,Galis,0,3
227,Bangpendah,Galis,0,3
228,Banjar,Galis,0,3
229,Lantek Barat,Galis,0,3
230,Lantek Temor,Galis,0,3
231,Telagah,Galis,0,3
232,Kelbung,Galis,0,3
233,Belateran,Galis,0,3
234,Tellok,Galis,0,3
235,Banyubunih,Galis,2000,3
236,Longkek,Galis,0,3
237,Pakaandaya,Galis,0,3
238,Separah,Galis,0,3
239,Kranggan Timur,Galis,0,3
240,Paka'An Laok,Galis,0,3
241,Galis,Galis,0,3
242,Paterongan,Galis,0,3
243,Kompol,Geger,0,3
244,Kombangan,Geger,0,3
245,Pekadan,Galis,0,3
246,Dabung,Geger,0,3
247,Larangan Sorjan,Klampis,0,3
248,Manonggal,Klampis,0,3
249,Larangan Glintong,Klampis,0,3
250,Panyaksagan,Klampis,0,3
251,Lergunong,Klampis,0,3
252,Bragang,Klampis,0,3
253,Bantean,Klampis,0,3
254,Karang Asem,Klampis,0,3
255,Pangeleyan,Tanah Merah,0,3
256,Muarah,Klampis,0,3
257,Ra'As,Klampis,0,3
258,Tolbuk,Klampis,0,3
259,Pendabah,Kamal,0,3
260,Tellang,Kamal,0,3
261,Gili Anyar,Kamal,0,3
262,Kebun,Kamal,0,3
263,Tanjung Jati,Kamal,0,3
264,Banyu Ajuh,Kamal,0,3
265,Gili Barat,Kamal,0,3
266,Tajungan,Kamal,0,3
267,Banyoneng Dajah,Geger,0,3
268,Banyoneng Laok,Geger,0,3
269,Katol Barat,Geger,0,3
270,Kajuanak,Galis,0,3
271,Binoh,Burneh,0,3
272,Bulung,Klampis,0,3
273,Pangeran Gedungan,Blega,0,3
274,Gigir,Blega,0,3
275,Gebang,Bangkalan,0,3
276,Sabiyan,Bangkalan,0,3
277,Demangan,Bangkalan,2000,3
278,Mlajah,Bangkalan,2000,3
279,Mertajasah,Bangkalan,2000,3
280,Kramat,Bangkalan,0,3
281,Sembilangan,Bangkalan,3000,3
282,Tambegan,Arosbaya,0,3
283,Plakaran,Arosbaya,0,3
284,Makam Agung,Arosbaya,0,3
285,Karang Pao,Arosbaya,0,3
286,Cendagah,Arosbaya,0,3
287,Berbeluk,Arosbaya,0,3
288,Mangkon,Arosbaya,0,3
289,Dlemer,Arosbaya,0,3
290,Karang Duwak,Arosbaya,0,3
291,Arosbaya,Arosbaya,0,3
292,Tengket,Arosbaya,0,3
293,Lajing,Arosbaya,0,3
294,Balung,Arosbaya,0,3
295,Ombul,Arosbaya,0,3
296,Glagga,Arosbaya,0,3
297,Ko'Olan,Blega,0,3
298,Panjalinan,Blega,0,3
299,Alas Kembang,Burneh,0,3
300,Rosep,Blega,0,3
301,Perreng,Burneh,0,3
302,Pangolangan,Burneh,0,3
303,Sobih,Burneh,0,3
304,Arok,Burneh,0,3
305,Kapor,Burneh,0,3
306,Benangkah,Burneh,0,3
307,Langkap,Burneh,0,3
308,Jambu,Burneh,0,3
309,Tonjung,Burneh,0,3
310,Kajan,Blega,0,3
311,Alasraja,Blega,0,3
312,Nyor Manis,Blega,0,3
313,Blega,Blega,0,3
314,Karangnangka,Blega,0,3
315,Karang Panasan,Blega,0,3
316,Bates,Blega,0,3
317,Lomaer,Blega,0,3
318,Karang Gayam,Blega,0,3
319,Blegaoloh,Blega,0,3
320,Karpote,Blega,0,3
321,Lombang Daya,Blega,0,3
322,Lombang Laok,Blega,0,3
323,Kampao,Blega,0,3
324,Tenggun Daya,Klampis,0,3
325,Polongan,Klampis,0,3
326,Trogan,Klampis,0,3
327,Paeng,Modung,0,3
328,Patereman,Modung,0,3
329,Pangpajung,Modung,0,3
330,Petapan,Labang,0,3
331,Sendang Daya,Labang,0,3
332,Sendang Laok,Labang,0,3
333,Jukong,Labang,0,3
334,Labang,Labang,0,3
335,Ba'Engas,Labang,0,3
336,Bringin,Labang,0,3
337,Bunajih,Labang,0,3
338,Sukolilo Timur,Labang,0,3
339,Sukolilo Barat,Labang,0,3
340,Pangpong,Labang,0,3
341,Kesek,Labang,0,3
342,Gunung Sereng,Kwanyar,0,3
343,Paoran,Kwanyar,0,3
344,Sumur Kuning,Kwanyar,0,3
345,Ko'ol,Klampis,0,3
346,Ketetang,Kwanyar,2000,3
347,Dlemer,Kwanyar,0,3
348,Janteh,Kwanyar,0,3
349,Karang Entang,Kwanyar,0,3
350,Pandanan,Kwanyar,0,3
351,Kolla,Modung,0,3
352,Neroh,Modung,0,3
353,Batah Timur,Kwanyar,0,3
354,Serabi Timur,Modung,0,3
355,Kranggan Barat,Tanah Merah,0,3
356,Baipajung,Tanah Merah,0,3
357,Pacentan,Tanah Merah,0,3
358,Pernajuh,Socah,3000,3
359,Dakiring,Socah,0,3
360,Petaonan,Socah,0,3
361,Keleyan,Socah,0,3
362,Bilaporah,Socah,0,3
363,Sanggra Agung,Socah,0,3
364,Buluh,Socah,0,3
365,Socah,Socah,0,3
366,Junganyar,Socah,0,3
367,Alaskokon,Modung,0,3
368,Pakong,Modung,0,3
369,Glisgis,Modung,0,3
370,Manggaan,Modung,0,3
371,Karanganyar,Modung,0,3
372,Brakas Dajah,Modung,0,3
373,Modung,Modung,0,3
374,Suwaan,Modung,0,3
375,Langpanggang,Modung,0,3
376,Patengteng,Modung,0,3
377,Serabi Barat,Modung,0,3
378,Duwek Buter,Kwanyar,0,3
379,Morombuh,Kwanyar,0,3
380,Ragung,Pangarengan,0,3
381,Tlokoh,Kokop,0,3
382,Mandung,Kokop,0,3
383,Senasen,Konang,0,3
384,Bandang Laok,Kokop,0,3
385,Konang,Konang,0,3
386,Bandung,Konang,0,3
387,Pakes,Konang,0,3
388,Durin Timur,Konang,0,3
389,Batokaban,Konang,0,3
390,Tramok,Kokop,0,3
391,Kanegarah,Konang,0,3
392,Durin Barat,Konang,0,3
393,Galis Daya,Konang,0,3
