No,Desa/Kelurahan,Kecamatan,jarak_kab,Skala
278,Kajuanak,Galis,30,3
279,Pekadan,Galis,32,3
280,Makam Agung,Arosbaya,14,3
281,Gigir,Blega,38,3
282,Gebang,Bangkalan,8,3
283,Sabiyan,Bangkalan,8,3
284,Bancaran,Bangkalan,7,3
285,Keraton,Bangkalan,6,3
286,Kramat,Bangkalan,8,3
287,Sembilangan,Bangkalan,8,3
288,Ujung Piring,Bangkalan,7,3
289,Tambegan,Arosbaya,20,3
290,Buduran,Arosbaya,19,3
291,Plakaran,Arosbaya,13,3
292,Karang Pao,Arosbaya,19,3
293,Pangeran Gedungan,Blega,42,3
294,Cendagah,Arosbaya,19,3
295,Berbeluk,Arosbaya,20,3
296,Mangkon,Arosbaya,19,3
297,Dlemer,Arosbaya,20,3
298,Karang Duwak,Arosbaya,22,3
299,Arosbaya,Arosbaya,17,3
300,Tengket,Arosbaya,16,3
301,Lajing,Arosbaya,12,3
302,Balung,Arosbaya,16,3
303,Ombul,Arosbaya,22,3
304,Glagga,Arosbaya,23,3
305,Ko'Olan,Blega,43,3
306,Panjalinan,Blega,45,3
307,Binoh,Burneh,14,3
308,Alasraja,Blega,43,3
309,Alas Kembang,Burneh,13,3
310,Perreng,Burneh,13,3
311,Pangolangan,Burneh,11,3
312,Sobih,Burneh,12,3
313,Arok,Burneh,8,3
314,Kapor,Burneh,8,3
315,Benangkah,Burneh,9,3
316,Langkap,Burneh,7,3
317,Jambu,Burneh,8,3
318,Tonjung,Burneh,6,3
319,Burneh,Burneh,6,3
320,Nyor Manis,Blega,42,3
321,Rosep,Blega,42,3
322,Blega,Blega,39,3
323,Karangnangka,Blega,42,3
324,Karang Panasan,Blega,44,3
325,Bates,Blega,53,3
326,Lomaer,Blega,45,3
327,Karang Gayam,Blega,45,3
328,Blegaoloh,Blega,40,3
329,Karpote,Blega,38,3
330,Lombang Daya,Blega,37,3
331,Lombang Laok,Blega,40,3
332,Kampao,Blega,39,3
333,Tenggun Daya,Klampis,25,3
334,Manonggal,Klampis,33,3
335,Trogan,Klampis,15,3
336,Labang,Labang,20,3
337,Serabi Timur,Modung,42,3
338,Neroh,Modung,35,3
339,Paeng,Modung,43,3
340,Kolla,Modung,44,3
341,Patereman,Modung,40,3
342,Pangpajung,Modung,35,3
343,Petapan,Labang,18,3
344,Sendang Daya,Labang,18,3
345,Sendang Laok,Labang,19,3
346,Jukong,Labang,18,3
347,Morkepek,Labang,18,3
348,Patengteng,Modung,40,3
349,Ba'Engas,Labang,20,3
350,Bringin,Labang,23,3
351,Bunajih,Labang,22,3
352,Sukolilo Timur,Labang,21,3
353,Sukolilo Barat,Labang,20,3
354,Pangpong,Labang,21,3
355,Kesek,Labang,22,3
356,Gunung Sereng,Kwanyar,25,3
357,Ko'ol,Klampis,15,3
358,Sumur Kuning,Kwanyar,25,3
359,Serabi Barat,Modung,30,3
360,Langpanggang,Modung,115,3
361,Ketetang,Kwanyar,23,3
362,Petaonan,Socah,6,3
363,Tanah Merah Daya,Tanah Merah,15,3
364,Petrah,Tanah Merah,16,3
365,Padurungan,Tanah Merah,17,3
366,Pangeleyan,Tanah Merah,17,3
367,Kranggan Barat,Tanah Merah,20,3
368,Tanah Merah Laok,Tanah Merah,19,3
369,Baipajung,Tanah Merah,19,3
370,Pacentan,Tanah Merah,15,3
371,Pernajuh,Socah,10,3
372,Dakiring,Socah,11,3
373,Parseh,Socah,12,3
374,Suwaan,Modung,35,3
375,Sanggra Agung,Socah,12,3
376,Jaddih,Socah,7,3
377,Buluh,Socah,8,3
378,Junganyar,Socah,9,3
379,Pakong,Modung,30,3
380,Glisgis,Modung,30,3
381,Manggaan,Modung,30,3
382,Karanganyar,Modung,25,3
383,Brakas Dajah,Modung,26,3
384,Modung,Modung,25,3
385,Morombuh,Kwanyar,25,3
386,Paoran,Kwanyar,25,3
387,Galis Daya,Konang,36,3
388,Bandung,Konang,56,3
389,Durin Timur,Konang,36,3
390,Batokaban,Konang,48,3
391,Kanegarah,Konang,38,3
392,Durin Barat,Konang,42,3
393,Batokorogan,Kokop,50,3
394,Dupok,Kokop,50,3
395,Banda Soleh,Kokop,52,3
396,Katol Timur,Kokop,57,3
397,Tramok,Kokop,55,3
398,Bandang Laok,Kokop,54,3
399,Mandung,Kokop,64,3
400,Mano'An,Kokop,52,3
401,Durjan,Kokop,73,3
402,Tlokoh,Kokop,64,3
403,Kokop,Kokop,59,3
404,Ampara'an,Kokop,60,3
405,Lembung Gunung,Kokop,52,3
406,Klampis Timur,Klampis,24,3
407,Klampis Barat,Klampis,18,3
408,Bator,Klampis,25,3
409,Buluk Agung,Klampis,17,3
410,Mrandung,Klampis,13,3
411,Tobaddung,Klampis,21,3
412,Pakes,Konang,40,3
413,Ragung,Pangarengan,15,3
414,Konang,Konang,47,3
415,Pasanggrahan,Kwanyar,23,3
416,Dlemer,Kwanyar,25,3
417,Janteh,Kwanyar,21,3
418,Karang Entang,Kwanyar,17,3
419,Pandanan,Kwanyar,25,3
420,Duwek Buter,Kwanyar,27,3
421,Senasen,Konang,60,3
422,Karanganyar,Kwanyar,18,3
423,Batah Barat,Kwanyar,22,3
424,Genteng,Konang,59,3
425,Tebul,Kwanyar,19,3
426,Campor,Konang,50,3
427,Sambiyan,Konang,57,3
428,Kwanyar Barat,Kwanyar,22,3
429,Cangkarman,Konang,59,3
430,Keleyan,Socah,5,2
431,Pejagan,Bangkalan,4,2
432,Banyuanyar,Sampang,4,2
433,Pangongsean,Torjun,4,2
434,Pangeranan,Bangkalan,5,2
435,Patarongan,Torjun,5,2
436,Socah,Socah,5,2
437,Gng Maddah,Sampang,5,2
438,Polagan,Sampang,2,1
439,Paseyan,Sampang,3,1
440,Kajan,Blega,2,1
441,Bilaporah,Socah,3,1
442,Batah Timur,Kwanyar,2,1
443,Mertajasah,Bangkalan,2,1
444,Demangan,Bangkalan,2,1
445,Tanggumong,Sampang,1,0
446,Dalpenang,Sampang,1,0
447,Gunung Sekar,Sampang,1,0
448,Karang Dalem,Sampang,1,0
449,Mlajah,Bangkalan,1,0
450,Kemayoran,Bangkalan,1,0
451,Alaskokon,Modung,1,0
452,Rong Tengah,Sampang,1,0
