No,Desa/Kelurahan,Kecamatan,wisata_nusantara,Skala
147,Pasarenan,Kedungdung,0,0
148,Daleman,Kedungdung,0,0
149,Gunung Eleh,Kedungdung,0,0
150,Batu poro timur,Kedungdung,0,0
151,Kedungdung,Kedungdung,0,0
152,Bira Barat,Ketapang,0,0
153,Pajeruan,Kedungdung,0,0
154,Ombul,Kedungdung,0,0
155,Banjar,Kedungdung,0,0
156,Nyeloh,Kedungdung,0,0
157,Bajrasokah,Kedungdung,0,0
158,Muktesareh,Kedungdung,0,0
159,Rahayu,Kedungdung,0,0
160,Rabasan,Kedungdung,0,0
161,Banyukapah,Kedungdung,0,0
162,Komis,Kedungdung,0,0
163,Pangereman,Ketapang,0,0
164,Ketapang Timur,Ketapang,0,0
165,Kanjar,Torjun,0,0
166,Jrangoan,Omben,0,0
167,Pacanggaan,Pangarengan,0,0
168,Penyerangan,Pangarengan,0,0
169,Gulbung,Pangarengan,0,0
170,Apaaan,Pangarengan,0,0
171,Karang Gayam,Omben,0,0
172,Rapa Daya,Omben,0,0
173,Pandan,Omben,0,0
174,Rongdalem,Omben,0,0
175,Rapalaok,Omben,0,0
176,Angsokah,Omben,0,0
177,Napo Daya,Omben,0,0
178,Paopale Daya,Ketapang,0,0
179,Sogiyan,Omben,0,0
180,Omben,Omben,0,0
181,Kamondung,Omben,0,0
182,Madulang,Omben,0,0
183,Meteng,Omben,0,0
184,Gersempal,Omben,0,0
185,Astapah,Omben,0,0
186,Karang Nangger,Omben,0,0
187,Kebun Sareh,Omben,0,0
188,Banyu Sokah,Ketapang,0,0
189,Karang penang oloh,Karang penang,0,0
190,Poreh,Karang penang,0,0
191,Bulmatet,Karang penang,0,0
192,Asem Jaran,Banyuates,0,0
193,Prajjan,Camplong,0,0
194,Banjar Talela,Camplong,0,0
195,Trapang,Banyuates,0,0
196,Jatra Timur,Banyuates,0,0
197,Banyuates,Banyuates,0,0
198,Masaran,Banyuates,0,0
199,Nepa,Banyuates,0,0
200,Tebanah,Banyuates,0,0
201,Morbatoh,Banyuates,0,0
202,Paseseh,Tanjung Bumi,0,0
203,Terosan,Banyuates,0,0
204,Karang penang onjur,Karang penang,0,0
205,Tapaan,Banyuates,0,0
206,Nagasareh,Banyuates,0,0
207,Tragah,Banyuates,0,0
208,Lar-lar,Banyuates,0,0
209,Tolang,Banyuates,0,0
210,Planggaran Timur,Banyuates,0,0
211,Planggaran Barat,Banyuates,0,0
212,Olor,Banyuates,0,0
213,Tana Mera,Torjun,0,0
214,Kara,Torjun,0,0
215,Batu Karang,Camplong,0,0
216,Dharma Tanjung,Camplong,0,0
217,Rabasan,Camplong,0,0
218,Banjar Tabulu,Camplong,0,0
219,Gunung Kesan,Karang penang,0,0
220,Tlambah,Karang penang,0,0
221,Bluuran,Karang penang,0,0
222,Panyepen,Jrengik,0,0
223,Taman,Jrengik,0,0
224,Jrengik,Jrengik,0,0
225,Kotah,Jrengik,0,0
226,Jungkarang,Jrengik,0,0
227,Mlaka,Jrengik,0,0
228,Bancelok,Jrengik,0,0
229,Buler,Jrengik,0,0
230,Plakaran,Jrengik,0,0
231,Asem Raja,Jrengik,0,0
232,Kalangan Prao,Jrengik,0,0
233,Majangan,Jrengik,0,0
234,Asem Nonggal,Jrengik,0,0
235,Margantoko,Jrengik,0,0
236,Plampaan,Camplong,0,0
237,Pamolaan,Camplong,0,0
238,Madupat,Camplong,0,0
239,Anggersek,Camplong,0,0
240,Telaga Biru,Tanjung Bumi,0,0
241,Rongdurin,Tanah Merah,0,0
242,Bumi Anyar,Tanjung Bumi,0,0
243,Galis,Galis,0,0
244,Dabung,Geger,0,0
245,Kombangan,Geger,0,0
246,Kampak,Geger,0,0
247,Kompol,Geger,0,0
248,Campor,Geger,0,0
249,Tegerpriyah,Geger,0,0
250,Batobella,Geger,0,0
251,Lerpak,Geger,0,0
252,Togubang,Geger,0,0
253,Sorpa,Galis,0,0
254,Sadah,Galis,0,0
255,Bangpendah,Galis,0,0
256,Banjar,Galis,0,0
257,Lantek Barat,Galis,0,0
258,Lantek Temor,Galis,0,0
259,Telagah,Galis,0,0
260,Kelbung,Galis,0,0
261,Belateran,Galis,0,0
262,Tellok,Galis,0,0
263,Longkek,Galis,0,0
264,Pakaandaya,Galis,0,0
265,Separah,Galis,0,0
266,Kranggan Timur,Galis,0,0
267,Katol Barat,Geger,0,0
268,Banyoneng Laok,Geger,0,0
269,Banyoneng Dajah,Geger,0,0
270,Karang Asem,Klampis,0,0
271,Trogan,Klampis,0,0
272,Bulung,Klampis,0,0
273,Tenggun Daya,Klampis,0,0
274,Larangan Sorjan,Klampis,0,0
275,Manonggal,Klampis,0,0
276,Larangan Glintong,Klampis,0,0
277,Panyaksagan,Klampis,0,0
278,Lergunong,Klampis,0,0
279,Bragang,Klampis,0,0
280,Bantean,Klampis,0,0
281,Polongan,Klampis,0,0
282,Tajungan,Kamal,0,0
283,Muarah,Klampis,0,0
284,Ra'As,Klampis,0,0
285,Tolbuk,Klampis,0,0
286,Pendabah,Kamal,0,0
287,Tellang,Kamal,0,0
288,Gili Anyar,Kamal,0,0
289,Kebun,Kamal,0,0
290,Tanjung Jati,Kamal,0,0
291,Banyu Ajuh,Kamal,0,0
292,Gili Barat,Kamal,0,0
293,Paka'An Laok,Galis,0,0
294,Paterongan,Galis,0,0
295,Tobaddung,Klampis,0,0
296,Kajuanak,Galis,0,0
297,Rosep,Blega,0,0
298,Panjalinan,Blega,0,0
299,Pangeran Gedungan,Blega,0,0
300,Ko'Olan,Blega,0,0
301,Gigir,Blega,0,0
302,Gebang,Bangkalan,0,0
303,Sabiyan,Bangkalan,0,0
304,Kramat,Bangkalan,0,0
305,Tambegan,Arosbaya,0,0
306,Plakaran,Arosbaya,0,0
307,Makam Agung,Arosbaya,0,0
308,Karang Pao,Arosbaya,0,0
309,Cendagah,Arosbaya,0,0
310,Berbeluk,Arosbaya,0,0
311,Mangkon,Arosbaya,0,0
312,Dlemer,Arosbaya,0,0
313,Karang Duwak,Arosbaya,0,0
314,Arosbaya,Arosbaya,0,0
315,Tengket,Arosbaya,0,0
316,Lajing,Arosbaya,0,0
317,Balung,Arosbaya,0,0
318,Ombul,Arosbaya,0,0
319,Glagga,Arosbaya,0,0
320,Kampao,Blega,0,0
321,Lombang Laok,Blega,0,0
322,Lombang Daya,Blega,0,0
