No,Desa/Kelurahan,Kecamatan,Akomodasi (Jumlah),Skala
168,Astapah,Omben,0,0
169,Napolaok,Omben,0,0
170,Karang Nangger,Omben,0,0
171,Rahayu,Kedungdung,0,0
172,Banyukapah,Kedungdung,0,0
173,Dlambah Dajah,Tanah Merah,0,0
174,Masaran,Banyuates,0,0
175,Dharma Tanjung,Camplong,0,0
176,Sejati,Camplong,0,0
177,Batu Karang,Camplong,0,0
178,Dharma Camplong,Camplong,0,0
179,Prajjan,Camplong,0,0
180,Tambaan,Camplong,1,0
181,Banjar Talela,Camplong,0,0
182,Taddan,Camplong,0,0
183,Trapang,Banyuates,0,0
184,Jatra Timur,Banyuates,0,0
185,Banyuates,Banyuates,0,0
186,Batioh,Banyuates,0,0
187,Banjar Tabulu,Camplong,0,0
188,Nepa,Banyuates,0,0
189,Tebanah,Banyuates,0,0
190,Montor,Banyuates,0,0
191,Morbatoh,Banyuates,0,0
192,Kambang Jeruk,Banyuates,0,0
193,Asem Jaran,Banyuates,0,0
194,Terosan,Banyuates,0,0
195,Tapaan,Banyuates,0,0
196,Nagasareh,Banyuates,0,0
197,Tragah,Banyuates,0,0
198,Lar-lar,Banyuates,0,0
199,Rabasan,Camplong,0,0
200,Anggersek,Camplong,0,0
201,Komis,Kedungdung,0,0
202,Kotah,Jrengik,0,0
203,Kramat,Kedungdung,0,0
204,Karang penang oloh,Karang penang,0,0
205,Poreh,Karang penang,0,0
206,Bulmatet,Karang penang,0,0
207,Karang penang onjur,Karang penang,0,0
208,Gunung Kesan,Karang penang,0,0
209,Tlambah,Karang penang,0,0
210,Bluuran,Karang penang,0,0
211,Panyepen,Jrengik,0,0
212,Taman,Jrengik,0,0
213,Jrengik,Jrengik,0,0
214,Jungkarang,Jrengik,0,0
215,Madupat,Camplong,0,0
216,Mlaka,Jrengik,0,0
217,Bancelok,Jrengik,0,0
218,Buler,Jrengik,0,0
219,Plakaran,Jrengik,0,0
220,Asem Raja,Jrengik,0,0
221,Kalangan Prao,Jrengik,0,0
222,Majangan,Jrengik,0,0
223,Asem Nonggal,Jrengik,0,0
224,Margantoko,Jrengik,0,0
225,Plampaan,Camplong,0,0
226,Pamolaan,Camplong,0,0
227,Dlamba Laok,Tanah Merah,0,0
228,Rongdurin,Tanah Merah,0,0
229,Batangan,Tanah Merah,0,0
230,Batonaong,Arosbaya,0,0
231,Geger,Geger,0,0
232,Lerpak,Geger,0,0
233,Togubang,Geger,0,0
234,Sorpa,Galis,0,0
235,Sadah,Galis,0,0
236,Bangpendah,Galis,0,0
237,Banjar,Galis,0,0
238,Lantek Barat,Galis,0,0
239,Lantek Temor,Galis,0,0
240,Telagah,Galis,0,0
241,Kelbung,Galis,0,0
242,Belateran,Galis,0,0
243,Tellok,Galis,0,0
244,Daleman,Galis,0,0
245,Banyubunih,Galis,0,0
246,Longkek,Galis,0,0
247,Pakaandaya,Galis,0,0
248,Separah,Galis,0,0
249,Kranggan Timur,Galis,0,0
250,Paka'An Laok,Galis,0,0
251,Galis,Galis,0,0
252,Paterongan,Galis,0,0
253,Kajuanak,Galis,0,0
254,Pekadan,Galis,0,0
255,Binoh,Burneh,0,0
256,Batobella,Geger,0,0
257,Tegerpriyah,Geger,0,0
258,Campor,Geger,0,0
259,Gili Timur,Kamal,0,0
260,Lergunong,Klampis,0,0
261,Bragang,Klampis,0,0
262,Bantean,Klampis,0,0
263,Karang Asem,Klampis,0,0
264,Polongan,Klampis,0,0
265,Muarah,Klampis,0,0
266,Ra'As,Klampis,0,0
267,Tolbuk,Klampis,0,0
268,Pendabah,Kamal,0,0
269,Tellang,Kamal,0,0
270,Gili Anyar,Kamal,0,0
271,Kebun,Kamal,0,0
272,Kompol,Geger,0,0
273,Tanjung Jati,Kamal,0,0
274,Kamal,Kamal,1,0
275,Banyu Ajuh,Kamal,0,0
276,Gili Barat,Kamal,0,0
277,Tajungan,Kamal,0,0
278,Banyoneng Dajah,Geger,0,0
279,Banyoneng Laok,Geger,0,0
280,Katol Barat,Geger,0,0
281,Dabung,Geger,0,0
282,Kombangan,Geger,0,0
283,Kampak,Geger,0,0
284,Alas Kembang,Burneh,0,0
285,Perreng,Burneh,0,0
286,Pangolangan,Burneh,0,0
287,Makam Agung,Arosbaya,0,0
288,Bancaran,Bangkalan,0,0
289,Pangeranan,Bangkalan,0,0
290,Kemayoran,Bangkalan,1,0
291,Mlajah,Bangkalan,0,0
292,Mertajasah,Bangkalan,1,0
293,Kramat,Bangkalan,0,0
294,Sembilangan,Bangkalan,0,0
295,Ujung Piring,Bangkalan,0,0
296,Tambegan,Arosbaya,0,0
297,Buduran,Arosbaya,0,0
298,Plakaran,Arosbaya,0,0
299,Karang Pao,Arosbaya,0,0
300,Gebang,Bangkalan,0,0
301,Cendagah,Arosbaya,0,0
302,Berbeluk,Arosbaya,0,0
303,Mangkon,Arosbaya,0,0
304,Dlemer,Arosbaya,0,0
305,Karang Duwak,Arosbaya,0,0
306,Arosbaya,Arosbaya,0,0
307,Tengket,Arosbaya,0,0
308,Lajing,Arosbaya,0,0
309,Balung,Arosbaya,0,0
310,Ombul,Arosbaya,0,0
311,Glagga,Arosbaya,0,0
312,Sabiyan,Bangkalan,0,0
313,Gigir,Blega,0,0
314,Sobih,Burneh,0,0
315,Karangnangka,Blega,0,0
316,Arok,Burneh,0,0
317,Kapor,Burneh,0,0
318,Benangkah,Burneh,0,0
319,Langkap,Burneh,0,0
320,Jambu,Burneh,0,0
321,Tonjung,Burneh,0,0
322,Burneh,Burneh,0,0
323,Kajan,Blega,0,0
