No,Desa/Kelurahan,Kecamatan,medsos,Skala
145,Jrangoan,Omben,0,0
146,Pacanggaan,Pangarengan,0,0
147,Penyerangan,Pangarengan,0,0
148,Gulbung,Pangarengan,0,0
149,Apaaan,Pangarengan,0,0
150,Pangarengan,Pangarengan,1,0
151,Karang Gayam,Omben,0,0
152,Rapa Daya,Omben,0,0
153,Pandan,Omben,0,0
154,Rongdalem,Omben,0,0
155,Rapalaok,Omben,0,0
156,Angsokah,Omben,0,0
157,Napo Daya,Omben,0,0
158,Kebun Sareh,Omben,0,0
159,Sogiyan,Omben,0,0
160,Omben,Omben,0,0
161,Temoran,Omben,1,0
162,Tambak,Omben,1,0
163,Kamondung,Omben,0,0
164,Madulang,Omben,0,0
165,Meteng,Omben,0,0
166,Gersempal,Omben,0,0
167,Astapah,Omben,0,0
168,Napolaok,Omben,1,0
169,Karang Nangger,Omben,0,0
170,Rabasan,Kedungdung,0,0
171,Banyukapah,Kedungdung,0,0
172,Komis,Kedungdung,0,0
173,Batioh,Banyuates,1,0
174,Sejati,Camplong,1,0
175,Batu Karang,Camplong,0,0
176,Dharma Camplong,Camplong,1,0
177,Prajjan,Camplong,0,0
178,Tambaan,Camplong,1,0
179,Banjar Talela,Camplong,0,0
180,Taddan,Camplong,1,0
181,Trapang,Banyuates,0,0
182,Jatra Timur,Banyuates,0,0
183,Banyuates,Banyuates,0,0
184,Masaran,Banyuates,0,0
185,Nepa,Banyuates,0,0
186,Rabasan,Camplong,0,0
187,Tebanah,Banyuates,0,0
188,Montor,Banyuates,1,0
189,Morbatoh,Banyuates,0,0
190,Kambang Jeruk,Banyuates,0,0
191,Asem Jaran,Banyuates,0,0
192,Terosan,Banyuates,0,0
193,Tapaan,Banyuates,0,0
194,Nagasareh,Banyuates,0,0
195,Tragah,Banyuates,0,0
196,Lar-lar,Banyuates,0,0
197,Tolang,Banyuates,0,0
198,Dharma Tanjung,Camplong,0,0
199,Banjar Tabulu,Camplong,0,0
200,Kramat,Kedungdung,1,0
201,Jungkarang,Jrengik,0,0
202,Karang penang oloh,Karang penang,0,0
203,Poreh,Karang penang,0,0
204,Bulmatet,Karang penang,0,0
205,Karang penang onjur,Karang penang,0,0
