No,Desa/Kelurahan,Kecamatan,Luas Area,Skala
172,Karang Asem,Klampis,45413,3
173,Gersempal,Omben,6,3
174,Mlajah,Bangkalan,6,3
175,Karang Gayam,Omben,11,3
176,Makam Agung,Arosbaya,6,3
177,Lajing,Arosbaya,6,3
178,Glagga,Arosbaya,6,3
179,Penyerangan,Pangarengan,5,2
180,Plampaan,Camplong,4,2
181,Pangolangan,Burneh,5,2
182,Asem Raja,Jrengik,5,2
183,Angsokah,Omben,4,2
184,Sawah tengah,Robatal,5,2
185,Binoh,Burneh,5,2
186,Pekadan,Galis,4,2
187,Muktesareh,Kedungdung,4,2
188,Bepelle,Robatal,5,2
189,Alas Kembang,Burneh,4,2
190,Rapa Daya,Omben,4,2
191,Banyu Bese,Tragah,5,2
192,Kajuanak,Galis,5,2
193,Karang Leman,Tragah,4,2
194,Paterongan,Galis,4,2
195,Masaran,Tragah,4,2
196,Karang Duwak,Arosbaya,4,2
197,Kedungdung,Kedungdung,5,2
198,Bajeman,Tragah,4,2
199,Sogiyan,Omben,5,2
200,Longkek,Galis,5,2
201,Buler,Jrengik,4,2
202,Jrengik,Jrengik,4,2
203,Panyepen,Jrengik,5,2
204,Tlangoh,Tanjung Bumi,4,2
205,Macajah,Tanjung Bumi,4,2
206,Tragah,Tragah,4,2
207,Komis,Kedungdung,4,2
208,Aeng Sareh,Sampang,5,2
209,Karangnangka,Blega,4,2
210,Pangongsean,Torjun,5,2
211,Patarongan,Torjun,4,2
212,Dulang,Torjun,4,2
213,Planggaran Barat,Banyuates,5,2
214,Bancaran,Bangkalan,5,2
215,Tambelangan,Tambelangan,5,2
216,Planggaran Timur,Banyuates,5,2
217,Bringin,Tambelangan,4,2
218,Batorasang,Tambelangan,5,2
219,Pangarengan,Pangarengan,4,2
220,Kramat,Bangkalan,4,2
221,Karpote,Blega,5,2
222,Karang Gayam,Blega,4,2
223,Bumi Anyar,Tanjung Bumi,5,2
224,Montor,Banyuates,5,2
225,Karang Pao,Arosbaya,5,2
226,Nyor Manis,Blega,5,2
227,Tebanah,Banyuates,5,2
228,Kajan,Blega,5,2
229,Taddan,Camplong,4,2
230,Pangelen,Sampang,5,2
231,Banyumas,Sampang,4,2
232,Pakalongan,Sampang,4,2
233,Taman Sareh,Sampang,5,2
234,Panggung,Sampang,4,2
235,Gunung Sekar,Sampang,4,2
236,Rahayu,Kedungdung,5,2
237,Banjar Talela,Camplong,4,2
238,Patapan,Torjun,5,2
239,Sejati,Camplong,5,2
240,Bates,Blega,5,2
241,Buluk Agung,Klampis,5,2
242,Sumur Kuning,Kwanyar,4,2
243,Cangkarman,Konang,5,2
244,Senasen,Konang,4,2
245,Tanah Merah Laok,Tanah Merah,4,2
246,Madulang,Omben,5,2
247,Ketapang Barat,Ketapang,5,2
248,Banda Soleh,Kokop,4,2
249,Larangan Glintong,Klampis,5,2
250,Petaonan,Socah,4,2
251,Kompol,Geger,4,2
252,Buluh,Socah,5,2
253,Banyoneng Dajah,Geger,5,2
254,Tenggun Daya,Klampis,4,2
255,Panyaksagan,Klampis,5,2
256,Temoran,Omben,4,2
257,Lergunong,Klampis,4,2
258,Gili Barat,Kamal,4,2
259,Pakes,Konang,5,2
260,Suwaan,Modung,4,2
261,Pangpajung,Modung,4,2
262,Paopale Daya,Ketapang,5,2
263,Serabi Timur,Modung,5,2
264,Petrah,Tanah Merah,4,2
