No,Desa/Kelurahan,Kecamatan,pantai,Skala
168,Omben,Omben,0,0
169,Temoran,Omben,1,0
170,Kamondung,Omben,0,0
171,Madulang,Omben,0,0
172,Meteng,Omben,0,0
173,Gersempal,Omben,0,0
174,Astapah,Omben,0,0
175,Napolaok,Omben,1,0
176,Karang Nangger,Omben,0,0
177,Banyukapah,Kedungdung,0,0
178,Komis,Kedungdung,0,0
179,Kramat,Kedungdung,1,0
180,Rabasan,Camplong,0,0
181,Sejati,Camplong,1,0
182,Batu Karang,Camplong,0,0
183,Prajjan,Camplong,0,0
184,Tambaan,Camplong,1,0
185,Banjar Talela,Camplong,0,0
186,Trapang,Banyuates,0,0
187,Jatra Timur,Banyuates,0,0
188,Banyuates,Banyuates,0,0
189,Masaran,Banyuates,0,0
190,Nepa,Banyuates,0,0
191,Tebanah,Banyuates,0,0
192,Montor,Banyuates,1,0
193,Morbatoh,Banyuates,0,0
194,Kambang Jeruk,Banyuates,0,0
195,Asem Jaran,Banyuates,0,0
196,Terosan,Banyuates,0,0
197,Tapaan,Banyuates,0,0
198,Buddan,Tanah Merah,0,0
199,Tragah,Banyuates,0,0
200,Lar-lar,Banyuates,0,0
201,Tolang,Banyuates,0,0
202,Planggaran Timur,Banyuates,0,0
203,Planggaran Barat,Banyuates,0,0
204,Dharma Tanjung,Camplong,0,0
205,Banjar Tabulu,Camplong,0,0
206,Karang penang oloh,Karang penang,0,0
207,Anggersek,Camplong,0,0
208,Poreh,Karang penang,0,0
209,Bulmatet,Karang penang,0,0
210,Karang penang onjur,Karang penang,0,0
211,Gunung Kesan,Karang penang,0,0
212,Tlambah,Karang penang,0,0
213,Bluuran,Karang penang,0,0
214,Panyepen,Jrengik,0,0
215,Taman,Jrengik,0,0
216,Jrengik,Jrengik,0,0
217,Kotah,Jrengik,0,0
218,Jungkarang,Jrengik,0,0
219,Mlaka,Jrengik,0,0
220,Bancelok,Jrengik,0,0
221,Buler,Jrengik,0,0
222,Plakaran,Jrengik,0,0
223,Asem Raja,Jrengik,0,0
224,Kalangan Prao,Jrengik,0,0
225,Majangan,Jrengik,0,0
226,Asem Nonggal,Jrengik,0,0
227,Margantoko,Jrengik,0,0
228,Plampaan,Camplong,0,0
229,Pamolaan,Camplong,0,0
230,Madupat,Camplong,0,0
231,Poter,Tanah Merah,0,0
232,Rongdurin,Tanah Merah,0,0
233,Mrecah,Tanah Merah,0,0
234,Telagah,Galis,0,0
235,Campor,Geger,0,0
236,Tegerpriyah,Geger,0,0
237,Batobella,Geger,0,0
238,Lerpak,Geger,0,0
239,Togubang,Geger,0,0
240,Sorpa,Galis,0,0
241,Sadah,Galis,0,0
242,Bangpendah,Galis,0,0
243,Banjar,Galis,0,0
244,Lantek Barat,Galis,0,0
245,Lantek Temor,Galis,0,0
246,Kelbung,Galis,0,0
247,Kampak,Geger,0,0
248,Belateran,Galis,0,0
249,Tellok,Galis,0,0
250,Daleman,Galis,1,0
251,Banyubunih,Galis,1,0
252,Longkek,Galis,0,0
253,Pakaandaya,Galis,0,0
254,Separah,Galis,0,0
255,Kranggan Timur,Galis,0,0
256,Paka'An Laok,Galis,0,0
257,Galis,Galis,0,0
258,Paterongan,Galis,0,0
259,Kompol,Geger,0,0
260,Kombangan,Geger,0,0
261,Dlamba Laok,Tanah Merah,0,0
262,Pendabah,Kamal,0,0
263,Manonggal,Klampis,0,0
264,Larangan Glintong,Klampis,0,0
265,Panyaksagan,Klampis,0,0
266,Lergunong,Klampis,0,0
267,Bragang,Klampis,0,0
268,Bantean,Klampis,0,0
269,Karang Asem,Klampis,0,0
270,Polongan,Klampis,0,0
271,Muarah,Klampis,0,0
272,Ra'As,Klampis,0,0
273,Tolbuk,Klampis,0,0
274,Tellang,Kamal,0,0
275,Dabung,Geger,0,0
276,Gili Anyar,Kamal,0,0
277,Gili Timur,Kamal,1,0
278,Kebun,Kamal,0,0
279,Tanjung Jati,Kamal,0,0
280,Kamal,Kamal,1,0
281,Banyu Ajuh,Kamal,0,0
282,Gili Barat,Kamal,0,0
283,Tajungan,Kamal,0,0
284,Banyoneng Dajah,Geger,0,0
285,Banyoneng Laok,Geger,0,0
286,Katol Barat,Geger,0,0
287,Kajuanak,Galis,0,0
288,Pekadan,Galis,0,0
289,Binoh,Burneh,0,0
290,Makam Agung,Arosbaya,0,0
291,Gigir,Blega,0,0
292,Gebang,Bangkalan,0,0
293,Sabiyan,Bangkalan,0,0
294,Keraton,Bangkalan,1,0
295,Pangeranan,Bangkalan,1,0
296,Mertajasah,Bangkalan,1,0
297,Kramat,Bangkalan,0,0
298,Sembilangan,Bangkalan,1,0
299,Ujung Piring,Bangkalan,1,0
300,Tambegan,Arosbaya,0,0
301,Plakaran,Arosbaya,0,0
302,Karang Pao,Arosbaya,0,0
303,Alas Kembang,Burneh,0,0
304,Cendagah,Arosbaya,0,0
305,Berbeluk,Arosbaya,0,0
306,Mangkon,Arosbaya,0,0
307,Dlemer,Arosbaya,0,0
308,Karang Duwak,Arosbaya,0,0
309,Arosbaya,Arosbaya,0,0
310,Tengket,Arosbaya,0,0
311,Lajing,Arosbaya,0,0
312,Balung,Arosbaya,0,0
313,Ombul,Arosbaya,0,0
314,Glagga,Arosbaya,0,0
315,Ko'Olan,Blega,0,0
316,Pangeran Gedungan,Blega,0,0
317,Panjalinan,Blega,0,0
318,Rosep,Blega,0,0
319,Perreng,Burneh,0,0
320,Pangolangan,Burneh,0,0
321,Sobih,Burneh,0,0
322,Arok,Burneh,0,0
323,Kapor,Burneh,0,0
324,Benangkah,Burneh,0,0
325,Langkap,Burneh,0,0
326,Jambu,Burneh,0,0
327,Tonjung,Burneh,0,0
328,Kajan,Blega,0,0
329,Alasraja,Blega,0,0
330,Nyor Manis,Blega,0,0
331,Blega,Blega,0,0
332,Karangnangka,Blega,0,0
333,Karang Panasan,Blega,0,0
334,Bates,Blega,0,0
335,Lomaer,Blega,0,0
336,Karang Gayam,Blega,0,0
337,Blegaoloh,Blega,0,0
338,Karpote,Blega,0,0
339,Lombang Daya,Blega,0,0
340,Lombang Laok,Blega,0,0
341,Kampao,Blega,0,0
342,Larangan Sorjan,Klampis,0,0
343,Tenggun Daya,Klampis,0,0
344,Bulung,Klampis,0,0
345,Serabi Barat,Modung,0,0
346,Junganyar,Socah,0,0
347,Alaskokon,Modung,0,0
348,Pakong,Modung,0,0
349,Glisgis,Modung,0,0
350,Manggaan,Modung,1,0
351,Karanganyar,Modung,0,0
352,Brakas Dajah,Modung,0,0
353,Modung,Modung,0,0
354,Suwaan,Modung,0,0
355,Langpanggang,Modung,0,0
356,Patengteng,Modung,0,0
357,Serabi Timur,Modung,0,0
358,Bringin,Labang,0,0
359,Neroh,Modung,0,0
360,Paeng,Modung,0,0
361,Kolla,Modung,0,0
362,Patereman,Modung,0,0
363,Pangpajung,Modung,0,0
364,Petapan,Labang,0,0
365,Sendang Daya,Labang,0,0
366,Sendang Laok,Labang,0,0
367,Jukong,Labang,0,0
368,Labang,Labang,0,0
369,Morkepek,Labang,1,0
370,Socah,Socah,0,0
371,Buluh,Socah,0,0
372,Sanggra Agung,Socah,0,0
373,Parseh,Socah,1,0
374,Dlambah Dajah,Tanah Merah,0,0
375,Batangan,Tanah Merah,0,0
376,Batonaong,Arosbaya,0,0
377,Landak,Tanah Merah,0,0
378,Pettong,Tanah Merah,0,0
379,Jangkar,Tanah Merah,0,0
380,Kendaban,Tanah Merah,0,0
381,Tlomar,Tanah Merah,0,0
382,Patemon,Tanah Merah,1,0
383,Dumajah,Tanah Merah,0,0
384,Tanah Merah Daya,Tanah Merah,0,0
385,Petrah,Tanah Merah,0,0
386,Padurungan,Tanah Merah,0,0
387,Pangeleyan,Tanah Merah,0,0
388,Kranggan Barat,Tanah Merah,0,0
389,Tanah Merah Laok,Tanah Merah,1,0
390,Baipajung,Tanah Merah,0,0
391,Pacentan,Tanah Merah,0,0
392,Pernajuh,Socah,1,0
393,Dakiring,Socah,0,0
394,Petaonan,Socah,0,0
395,Keleyan,Socah,0,0
396,Bilaporah,Socah,0,0
397,Ba'Engas,Labang,0,0
398,Bunajih,Labang,0,0
399,Trogan,Klampis,0,0
400,Mano'An,Kokop,0,0
401,Batokaban,Konang,0,0
402,Kanegarah,Konang,0,0
403,Durin Barat,Konang,0,0
404,Galis Daya,Konang,0,0
405,Batokorogan,Kokop,0,0
406,Dupok,Kokop,0,0
407,Banda Soleh,Kokop,0,0
408,Katol Timur,Kokop,0,0
409,Tramok,Kokop,0,0
410,Bandang Laok,Kokop,0,0
411,Mandung,Kokop,0,0
412,Durjan,Kokop,1,0
413,Sukolilo Timur,Labang,0,0
414,Tlokoh,Kokop,0,0
415,Kokop,Kokop,0,0
416,Ampara'an,Kokop,0,0
417,Lembung Gunung,Kokop,0,0
418,Klampis Timur,Klampis,0,0
419,Klampis Barat,Klampis,0,0
420,Bator,Klampis,1,0
421,Buluk Agung,Klampis,0,0
422,Mrandung,Klampis,0,0
423,Tobaddung,Klampis,0,0
424,Ko'ol,Klampis,0,0
425,Durin Timur,Konang,0,0
426,Pakes,Konang,0,0
427,Bandung,Konang,0,0
428,Konang,Konang,0,0
429,Sukolilo Barat,Labang,0,0
430,Pangpong,Labang,0,0
431,Kesek,Labang,0,0
432,Gunung Sereng,Kwanyar,0,0
433,Paoran,Kwanyar,0,0
434,Sumur Kuning,Kwanyar,0,0
435,Morombuh,Kwanyar,0,0
436,Dlemer,Kwanyar,0,0
437,Janteh,Kwanyar,0,0
438,Karang Entang,Kwanyar,0,0
439,Pandanan,Kwanyar,0,0
440,Duwek Buter,Kwanyar,0,0
441,Batah Timur,Kwanyar,0,0
442,Batah Barat,Kwanyar,0,0
443,Karanganyar,Kwanyar,0,0
444,Pasanggrahan,Kwanyar,0,0
445,Kwanyar Barat,Kwanyar,1,0
446,Tebul,Kwanyar,0,0
447,Genteng,Konang,1,0
448,Cangkarman,Konang,0,0
449,Sambiyan,Konang,0,0
450,Campor,Konang,0,0
451,Senasen,Konang,0,0
452,Ragung,Pangarengan,0,0
